.threshold,specificity,sensitivity
0.0033397554338830925,0.020402459474566797,0.9984338292873923
0.0033406886724782047,0.020458356623812186,0.9984338292873923
0.003347795170866022,0.020514253773057572,0.9984338292873923
0.0033592245075984425,0.020570150922302962,0.9984338292873923
0.0033621535831824052,0.02062604807154835,0.9984338292873923
0.0033787086363260594,0.02068194522079374,0.9984338292873923
0.0033805475876694047,0.020737842370039127,0.9984338292873923
0.0033840753032370573,0.020793739519284517,0.9984338292873923
0.0033931797132342916,0.020849636668529906,0.9984338292873923
0.003395534728955164,0.020905533817775292,0.9984338292873923
0.003397409990764577,0.020961430967020682,0.9984338292873923
0.003401230618152616,0.02101732811626607,0.9984338292873923
0.0034027990887947604,0.021073225265511458,0.9984338292873923
0.003405561480320879,0.021129122414756847,0.9984338292873923
0.0034082507640332,0.021185019564002237,0.9984338292873923
0.003411734189078804,0.021240916713247623,0.9984338292873923
0.003412855159813092,0.021296813862493012,0.9984338292873923
0.003414000071327053,0.021352711011738402,0.9984338292873923
0.003422535173056283,0.02140860816098379,0.9984338292873923
0.00342263682637916,0.021464505310229177,0.9984338292873923
0.0034284015964450194,0.021520402459474567,0.9984338292873923
0.003432826370554973,0.021576299608719957,0.9984338292873923
0.0034377560782091953,0.021632196757965343,0.9984338292873923
0.00343999150319915,0.021688093907210732,0.9984338292873923
0.0034429025469204233,0.021743991056456122,0.9984338292873923
0.003445619763875533,0.021799888205701508,0.9984338292873923
0.003445856699616162,0.021855785354946897,0.9984338292873923
0.0034480488205310814,0.021911682504192287,0.9984338292873923
0.0034507095377729756,0.021967579653437673,0.9984338292873923
0.0034513343301867646,0.022023476802683063,0.9984338292873923
0.003463201434459165,0.022079373951928452,0.9984338292873923
0.0034781439739906537,0.02213527110117384,0.9984338292873923
0.0034813415826937828,0.022191168250419228,0.9984338292873923
0.003484829133008553,0.022247065399664617,0.9984338292873923
0.003488427558213581,0.022247065399664617,0.9980422866092404
0.003490790277377068,0.022302962548910007,0.9980422866092404
0.0034999045425769936,0.022358859698155393,0.9980422866092404
0.0035002826622012864,0.022414756847400782,0.9980422866092404
0.0035128874526171895,0.022470653996646172,0.9980422866092404
0.003514298475191022,0.022526551145891558,0.9980422866092404
0.00352049410829229,0.022582448295136948,0.9980422866092404
0.0035228043689720183,0.022638345444382337,0.9980422866092404
0.0035293545187679194,0.022694242593627723,0.9980422866092404
0.003531500653391337,0.022750139742873113,0.9980422866092404
0.0035391555299641255,0.022806036892118502,0.9980422866092404
0.003548590629689873,0.022861934041363892,0.9980422866092404
